Designator,Mid X,Mid Y,Rotation,Layer
C1,228.07375,-118.96593,180.0,top
C10,125.98,-64.78593,0.0,top
C11,125.98,-59.28593,0.0,top
C12,191.05625,-85.59793,0.0,top
C13,191.0,-89.66293,0.0,top
C14,185.0,-77.16293,90.0,top
C15,187.25,-98.90093,270.0,top
C16,180.75,-98.90093,270.0,top
C17,181.0,-77.16293,90.0,top
C18,176.75,-98.90093,270.0,top
C19,177.0,-77.16293,90.0,top
C2,223.13,-99.40093,0.0,top
C20,164.0,-90.29293,180.0,top
C21,164.0,-86.16293,180.0,top
C22,169.5,-94.29293,180.0,top
C23,95.32,-48.62593,270.0,top
C24,108.82,-48.12593,270.0,top
C25,103.77,-59.0,0.0,top
C26,230.065,-125.05625,270.0,top
C3,215.695,-107.95718,270.0,top
C4,90.0,-102.5,0.0,top
C5,236.25,-70.90093,90.0,top
C6,227.815,-70.45718,270.0,top
C7,217.75,-73.90093,180.0,top
C8,233.55625,-103.435,0.0,top
C9,89.77,-58.5,0.0,top
D1,119.82,-48.62593,90.0,top
IC1,237.63,-122.90093,90.0,top
IC2,243.63,-109.285027,0.0,top
J1,149.005,-134.90093,90.0,top
J2,173.24,-57.5,270.0,top
J3,121.75,-134.90093,270.0,top
J4,174.4975,-134.90093,270.0,top
J5,92.82,-42.12593,90.0,top
J6,158.74,-57.5,270.0,top
LS1,223.13,-94.90093,90.0,top
R1,125.17,-77.28593,180.0,top
R10,223.25,-71.21093,90.0,top
R11,233.25,-63.90093,180.0,top
R12,216.75,-68.40093,180.0,top
R13,167.69,-79.16293,0.0,top
R14,167.69,-82.16293,180.0,top
R15,112.63,-42.12593,0.0,top
R2,234.32,-114.90093,180.0,top
R3,234.44,-109.90093,0.0,top
R4,245.44,-115.02093,180.0,top
R5,223.94,-114.90093,180.0,top
R6,211.13,-107.90093,90.0,top
R7,244.25,-72.40093,180.0,top
R8,244.25,-69.40093,180.0,top
R9,232.25,-70.90093,270.0,top
SW1,158.5,-78.66293,90.0,top
U1,223.63,-107.40093,0.0,top
U2,220.75,-60.40093,90.0,top
U3,57.85,-88.17093,90.0,top
U4,123.48,-81.28593,90.0,top
U5,180.25,-87.90093,180.0,top
U6,101.82,-42.62593,180.0,top
U7,237.14675,-80.40093,180.0,top
U8,96.77,-58.64,0.0,top
Y1,170.5,-88.16293,270.0,top
